customer_id,segment_name,recency,frequency,monetary,R,F,M,RFM_Total,ticket_count,neg_ticket_rate,return_rate,avg_discount,sessions_30d,last_visit_days_ago,campaign_clicks_30d,loyalty_tier,churn_next_60d
CUST00001,At Risk,107,6,2955.57,2,5,4,11,2.0,0.5,0.16666666666666666,0.36333333333333334,1,20,0,Silver,1
CUST00002,New Customers,40,1,581.0,4,1,1,6,1.0,0.0,0.0,0.23,8,0,0,Silver,0
CUST00003,Discount Sensitive,171,1,649.98,1,1,1,3,0.0,0.0,0.0,0.47,1,26,0,,1
CUST00004,At Risk,131,1,1604.04,2,1,3,6,0.0,0.0,0.0,0.16,1,14,0,,1
CUST00005,Loyal Customers,38,4,2550.91,4,3,3,10,1.0,1.0,0.0,0.4425,18,9,1,Gold,0
CUST00006,Loyal Customers,51,5,3770.16,3,4,4,11,2.0,1.0,0.2,0.358,2,1,0,Silver,0
CUST00007,New Customers,3,1,719.33,5,1,1,7,0.0,0.0,0.0,0.18,11,12,3,,0
CUST00008,Loyal Customers,47,4,2747.33,3,3,4,10,1.0,0.0,0.0,0.2225,2,16,0,Silver,0
CUST00009,Discount Sensitive,31,1,376.85,4,1,1,6,0.0,0.0,0.0,0.49,11,6,0,,0
CUST00010,Discount Sensitive,9,1,636.8,5,1,1,7,0.0,0.0,0.0,0.45,13,5,0,,0
CUST00011,Needs Nurturing,1,2,925.0699999999999,5,2,2,9,0.0,0.0,0.0,0.15500000000000003,10,0,0,Gold,0
CUST00012,Needs Nurturing,50,2,2051.63,3,2,3,8,1.0,1.0,0.0,0.29500000000000004,3,5,0,,1
CUST00013,Needs Nurturing,61,3,1754.44,3,3,3,9,1.0,1.0,0.0,0.23,4,21,0,,0
CUST00014,Loyal Customers,51,11,8130.16,3,5,5,13,2.0,0.5,0.0,0.2618181818181818,11,17,0,,0
CUST00015,Loyal Customers,35,4,4200.93,4,3,5,12,0.0,0.0,0.0,0.3025,6,11,0,Gold,0
CUST00016,Dormant,215,1,478.02,1,1,1,3,1.0,0.0,0.0,0.22,2,32,1,,1
CUST00017,At Risk,286,3,1699.1399999999999,1,3,3,7,0.0,0.0,0.0,0.26666666666666666,4,47,4,,1
CUST00018,Needs Nurturing,111,1,329.21,2,1,1,4,0.0,0.0,0.0,0.36,3,37,2,Silver,1
CUST00019,Needs Nurturing,9,2,1598.93,5,2,3,10,0.0,0.0,0.0,0.105,5,0,1,Gold,0
CUST00020,High-Value but Unhappy,368,3,4487.950000000001,1,3,5,9,1.0,1.0,0.0,0.13,0,60,0,,1
CUST00021,Needs Nurturing,77,2,1059.3,3,2,2,7,1.0,1.0,0.0,0.435,3,18,0,Silver,1
CUST00022,New Customers,29,1,454.06,4,1,1,6,0.0,0.0,0.0,0.31,10,0,1,,0
CUST00023,New Customers,21,1,400.98,4,1,1,6,0.0,0.0,0.0,0.25,3,7,1,Gold,0
CUST00024,New Customers,4,1,481.35,5,1,1,7,0.0,0.0,0.0,0.34,13,0,0,,0
